,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10
238,7559.5,7412.5,7714.0,7708.0,7589.0,7758.5,7621.0,6758.0,7386.5,7174.0
239,7476.0,7341.0,7548.5,7793.0,7536.0,7699.0,7507.5,6706.5,7256.5,6981.0
240,7526.5,7366.0,7474.0,7727.5,7562.5,7680.0,7473.0,6660.0,7247.0,7008.5
241,7398.0,7363.5,7489.0,7679.5,7495.5,7606.5,7482.0,6612.5,7250.5,6887.0
242,7326.5,7220.0,7334.0,7642.5,7428.0,7566.5,7341.5,6657.0,7203.5,6950.0
243,7348.5,7283.0,7405.5,7659.5,7501.5,7518.0,7388.0,6632.5,7169.5,6874.5
244,7257.0,7160.5,7295.5,7610.0,7427.5,7510.0,7412.5,6514.5,6982.5,6792.0
245,7330.5,7062.5,7386.0,7532.0,7429.5,7504.5,7384.5,6431.5,7266.0,6853.5
246,7193.5,7023.0,7202.0,7594.5,7436.5,7441.5,7327.5,6443.0,7090.0,6825.0
247,7157.5,7021.5,7258.5,7541.5,7319.0,7349.0,7338.0,6395.5,7034.0,6702.0
248,7089.0,7016.0,7196.0,7461.0,7294.5,7389.0,7175.0,6243.0,6880.5,6635.0
249,6951.0,6922.0,7074.5,7272.0,7222.5,7267.0,7103.5,6229.0,6770.5,6516.0
250,6959.5,6795.0,6973.0,7312.0,7150.5,7257.5,7182.0,6249.5,6805.5,6485.5
251,6844.0,6783.0,6948.5,7270.5,7032.5,7427.0,7406.0,6269.5,6657.0,6442.0
252,6828.0,6701.5,7007.0,7253.0,7090.0,7285.0,7064.5,6209.5,6739.5,6330.0
253,6749.0,6593.5,6946.0,7173.5,7035.5,7127.0,7012.0,6133.5,6570.5,6472.0
254,6616.0,6548.5,6723.5,7068.0,6871.0,7150.5,7017.5,6012.0,6553.0,6288.5
255,6635.5,6498.5,6759.5,7002.0,6831.0,7057.0,6945.5,6028.5,6481.0,6265.0
256,6537.5,6541.5,6677.5,6987.0,6830.0,7063.0,6898.5,5880.5,6586.5,6269.0
257,6512.5,6381.0,6657.5,7027.0,6824.0,7050.5,7013.5,5710.5,6354.0,6041.0
258,6468.5,6379.0,6585.0,6945.5,6816.0,7021.0,6847.5,5658.0,6210.5,5958.0
259,6440.0,6403.0,6557.0,6891.0,6790.5,6978.0,6882.0,5609.0,6221.0,5907.5
260,6405.5,6381.5,6540.5,6774.5,6612.0,6989.5,6878.0,5599.5,6173.0,5809.5
261,6308.5,6284.0,6456.0,6872.5,6678.0,6756.0,6681.0,5515.5,6101.0,5808.0
262,6258.0,6216.5,6444.5,6767.0,6636.5,6742.5,6596.0,5524.0,6032.0,5743.0
263,6290.5,6160.5,6397.0,6714.5,6642.5,6757.5,6667.5,5529.5,6054.5,5726.5
264,6238.5,6196.5,6278.5,6635.0,6578.5,6691.0,6597.0,5572.0,6010.5,5726.0
